fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
118,0.18447,1,2,12,2.21235,1.578,0,0,1,1,1,0,0
119,0.23117,1,2,12,41.84514,5.399,0,1,1,1,1,0,0
120,0.30125,1,2,12,7.12648,1.586,1.189,0,1,1,1,0,0
121,0.16548,1,1,11,0.8544,8.962,0.089,0,2,1,1,0,0
122,0.22695,1,2,12,3.51658,6.581,0.194,1,1,1,1,1,0
124,0.16797,2,1,21,0.73329,1.289,0.064,0,2,1,1,0,0
125,0.38278,1,2,12,1.38002,0.743,0.068,0,2,1,1,1,0
126,0.37906,1,3,13,8.60433,6.355,0,1,2,0,1,0,0
127,0.42759,1,3,13,1.92167,13.774,0.626,0,3,1,1,1,0
129,0.10892,1,3,13,10.34418,2.412,0,1,2,0,1,0,0
130,0.73739,1,1,11,3.91852,2.005,0,1,2,0,1,0,0
131,0.22365,3,1,31,2.03589,3.32,0.119,1,2,0,1,0,0
132,0.13362,3,1,31,0.47637,3.063,0.042,0,2,1,1,0,0
133,0.21113,1,1,11,1.63043,2.551,0.44,0,2,1,1,0,0
135,0.51720,3,2,32,5.96416,1.409,3.521,0,2,1,1,0,0
137,0.19468,3,1,31,0.60083,4.7,0.165,0,2,1,1,0,0
138,1.25229,3,1,31,9.57663,2.821,0.564,1,1,1,1,0,0
140,0.57445,3,1,31,16.15861,0,0,1,1,1,1,0,0
141,0.77139,3,1,31,8.20964,5.766,0,1,1,1,1,0,0
150,2.30473,2,1,21,16.07537,13.238,1.471,1,2,0,0,0,0
151,0.13090,3,1,31,0.35075,5.917,0.048,0,1,0,0,1,0
152,0.25344,3,1,31,1.59199,15.51,0,1,1,0,0,0,0
154,0.21856,3,1,31,0.74549,1.101,0.315,0,2,1,1,0,0
155,0.13751,2,1,21,0.46286,1.153,0.199,1,2,1,1,0,0
156,0.27753,3,1,31,0.39097,2.274,0.059,1,2,0,1,1,1
160,0.02044,3,1,31,0.64773,1.694,0,1,1,0,1,0,1
161,0.02954,3,1,31,1.37126,5.508,0,1,1,0,1,0,1
162,1.20967,3,1,31,2.19554,0,0,1,1,0,1,0,0
163,0.17060,3,2,32,1.12165,6.718,0.23,0,2,0,1,0,0
